English Text (en_XX),Malayalam Text (ml_IN)
"en_XX: “Well, if you know how to read, why are you just a shepherd?”","ml_IN: “അത്രയ്ക്കൊക്കെ പഠിപ്പുണ്ടെങ്കില്‍ പിന്നെ, നിങ്ങള്‍ വെറുമൊരു ആട്ടി ടയനായതെന്തിനാ?"""
"en_XX: The boy mumbled an answer that allowed him to avoid responding to her question. He was sure the girl would never understand. He went on telling stories about his travels, and her bright, Moorish eyes went wide with fear and surprise. As the time passed, the boy found himself wishing that the day would never end, that her father would stay busy and keep him waiting for three days. He recognized that he was feeling something he had never experienced before: the desire to live in one place forever. With the girl with the raven hair, his days would never be the same again.",ml_IN: ആ ചോദ്യത്തിന്‌ വ്യക്തമായൊരു മറുപടി പറയാന്‍ എന്തുകൊണ്ടോ അവന്‍ മടിച്ചു. പറഞ്ഞുകൊടുത്താല്‍തന്നെ അത്‌ അവള്‍ക്കു മനസ്സിലാ വില്ലെന്ന്‌ അവനുറപ്പായിരുന്നു. അതുകൊണ്ട്‌ ഉരുണ്ടു പിരണ്ട്‌ എന്തോ പറഞ്ഞ്‌ അവന്‍ ഒഴിഞ്ഞുമാറി. അവളുടെ ശ്രദ്ധ തിരിക്കാനായി തന്റെ നീണ്ട യാത്രകളെക്കുറിച്ചവന്‍ പറയാന്‍ തുടങ്ങി. വഴിയിലെ കൌതുകങ്ങള്‍. അസാ ധാരണമായ അനുഭവങ്ങള്‍. തികഞ്ഞ (ര്രദ്ധയോടെ അവളതൊക്കെ മൂളി ക്കേട്ടു.
"en_XX: AND NOW IT WAS ONLY FOUR DAYS BEFORE HE WOULD BE back in that same village. He was excited, and at the same time uneasy: maybe the girl had already forgotten him. Lots of shepherds passed through, selling their wool.",ml_IN: ആറെ ഇതാ ഒരിക്കല്‍ക്കൂടി അവന്‍ ആ നാട്ടിന്‍പുറത്തേക്കു തിരിച്ചെ ത്തുന്നു. ഇനി നാലു ദിവസത്തെ യാര്രയേയുള്ളു. അവനു നല്ല ഉത്സാഹം തോന്നി; ഒപ്പം നേരിയ ആശങ്കയും. ആ പെണ്‍കുട്ടി ഇതിനിടെ തന്നെ മറന്നിട്ടുണ്ടെങ്കിലോ. ദിവസങ്ങളെ കഴിഞ്ഞു. എത്രയെത്ര ആട്ടിട യന്മാര്‍ ആ വഴി കടന്നുപോയിരിക്കും.
"en_XX: “It doesn’t matter,” he said to his sheep. “I know other girls in other places.”","ml_IN: ""വേറെ എത്ര നാടുകളില്‍ വേറെ എത്ര പെണ്‍കുട്ടികളെ എനിക്ക റിയാം.” എന്നാല്‍, അതു കാര്യമാക്കാനുള്ളതുതന്നെയെന്ന്‌ അവന്റെ ഹൃദയം പറഞ്ഞു. കപ്പലോട്ടക്കാരെയും സഞ്ചാരികളായ വര്‍ത്തകന്മാരെയുംപോലെ ആട്ടിടയന്മാര്‍ക്കും തങ്ങളുടെ അലഞ്ഞു തിരിഞ്ഞുള്ള ജീവിതസുഖങ്ങള്‍ മറക്കാന്‍ സഹായിക്കുന്ന ആരെങ്കിലുമുള്ള ഒരു പട്ടണം കണ്ടെത്താന്‍ കഴിയുമെന്നും അവനറിയാമായിരുന്നു."
"en_XX: The jacket had a purpose, and so did the boy. His purpose in life was to travel, and, after two years of walking the Andalusian terrain, he knew all the cities of the region. He was planning, on this visit, to explain to the girl how it was that a simple shepherd knew how to read. That he had attended a seminary until he was sixteen. His parents had wanted him to become a priest, and thereby a source of pride for a simple farm family. They worked hard just to have food and water, like the sheep. He had studied Latin, Spanish, and theology. But ever since he had been a child, he had wanted to know the world, and this was much more important to him than knowing God and learning about man’s sins. One afternoon, on a visit to his family, he had summoned up the courage to tell his father that he didn’t want to become a priest. That he wanted to travel.","ml_IN: ഏതാണ്ട്‌ ഈ ആടുകളെപ്പോലെതന്നെയായിരുന്നു അവന്റെ അച്ഛ നമ്മമാരും. വയറു നിറച്ച്‌ ആഹാരത്തിനുവേണ്ടി ദിവസം മുഴുവന്‍ അദ്ധ്വാ നിക്കുക. അവരുടെ ഏറ്റവും വലിയ മോഹം, മകനെ ഒരു പുരോഹിതനായി കാണാനായിരുന്നു. കുടുംബത്തിന്‌ അതില്‍പ്പരം ഒരു അഭിമാനമുണ്ടാകാ നുണ്ടോ? പതിനാറുവയസ്സുവരെ ഒരു സെമിനാരിയില്‍ ചേര്‍ന്ന്‌ അവന്‍ പഠി ക്കുകയും ചെയ്തു. ലാറ്റിനും സ്പാനിഷും ദൈവശാസ്ത്രവും അവന്‍ അഭ്യ സിച്ചു. പക്ഷേ, കുട്ടിക്കാലംമുതല്‍ക്കുതന്നെ അവന്‍ ലോകത്തെക്കു ."
"en_XX: “But I’d like to see the castles in the towns where they live,” the boy explained.","ml_IN: “എന്നാലും, അവര്‍ താമസിക്കുന്ന നഗരങ്ങളിലെ കൊട്ടാരങ്ങള്‍ എനിക്കു നേരിട്ടു കാണുകതന്നെ വേണം.” അവന്‍ ശാഠ്യം പിടിച്ചു."
"en_XX: “Those people, when they see our land, say that they would like to live here forever,” his father continued.",ml_IN: “നമ്മുടെ നാടുകാണുന്നവര്‍ പറയാറുള്ളത്‌ അവര്‍ ഇവിടെത്തന്നെ തങ്ങാനാണാഗ്രഹിക്കുന്നത്‌ എന്നാണല്ലൊ.” അവന്റെ പിതാവ്‌ തടര്‍ന്നു പറഞ്ഞു.
"en_XX: “Well, I’d like to see their land, and see how they live,” said his son.",ml_IN: “ആയിക്കോട്ടെ.” അവന്‍ പറഞ്ഞു: “ഞാന്‍ അവരുടെ നാടുകള്‍ കാണാ നാഗ്രഹിക്കുന്നു; അവരെങ്ങനെ ജീവിക്കുന്നു എന്നറിയാനും.”
"en_XX: “The people who come here have a lot of money to spend, so they can afford to travel,” his father said. “Amongst us, the only ones who travel are the shepherds.”",ml_IN: “അങ്ങനെ യാത്ര ചെയ്ത്‌ ഇവിടെ വരുന്നവര്‍ പണക്കാരാണ്‌. ചെല വാക്കാന്‍ ഇഷ്ടംപോലെ പണം.... വഴിയാത്ര അവര്‍ക്കൊരു പ്രശ്നമല്ല.”
"en_XX: His father said no more. The next day, he gave his son a pouch that held three ancient Spanish gold coins.",ml_IN: അവന്റെ പിതാവ്‌ പിന്നെയൊന്നും പറഞ്ഞില്ല. പിറ്റേന്നു നേരം പുലര്‍ ന്നതും ഒരു മടിശ്ലീലയെടുത്ത്‌ അവന്റെ കൈയില്‍ കൊടുത്തു. മുന്നു പുരാ തന സ്പാനിഷ്‌ സ്വര്‍ണ്ണനാണ്യങ്ങളായിരുന്നു അതിനുള്ളില്‍.
"en_XX: “I found these one day in the fields. I wanted them to be a part of your inheritance. But use them to buy your flock. Take to the fields, and someday you’ll learn that our countryside is the best, and our women are the most beautiful.”",ml_IN: നിന്റെ പിതൃസ്വത്തിന്റെ ഒരു ഭാഗമായിരിക്കട്ടെ അത്‌. നിന്റെ ആട്ടിന്‍പറ്റത്തെ വാങ്ങാനായി അത്‌ ഉപയോഗപ്പെടുത്തുക. ഇനി നീ പുറപ്പെട്ടോളു. എന്നെ ങ്കിലുമൊരുനാള്‍ നിനക്കു മനസ്സിലാകും നമ്മുടെ നാടാണ്‌ ഏറ്റവും നല്ല തെന്ന്‌. നമ്മുടെ നാട്ടിലെ പെണ്‍കിടാങ്ങളാണ്‌ ഏറ്റവും സുന്ദരികളായിട്ടുള്ള തെന്നും നീ ഒരുനാള്‍ അറിയാനിടയാകും.”
"en_XX: The boy thought back to that conversation with his father, and felt happy; he had already seen many castles and met many women (but none the equal of the one who awaited him several days hence). He owned a jacket, a book that he could trade for another, and a flock of sheep. But, most important, he was able every day to live out his dream. If he were to tire of the Andalusian fields, he could sell his sheep and go to sea. By the time he had had enough of the sea, he would already have known other cities, other women, and other chances to be happy. I couldn’t have found God in the seminary, he thought, as he looked at the sunrise.","ml_IN: എര്ര യുവതികള്‍ (എന്നാലും അവനെ പല നാള്‍ കാത്തിരുന്ന ആ കച്ചവടക്കാരന്റെ മകളോ ടൊപ്പം അവരാരും എത്തുമായിരുന്നില്ല). അവന്‍ ഒരു കുപ്പായം സ്വന്തമാ യുണ്ടായി. അതിനു പുറമെ, കൈമാറാവുന്ന ഒരു പുസ്തകവും ഒരു ആട്ടിന്‍ പറ്റവും അവനുണ്ട്‌. പക്ഷേ, പ്രധാന കാര്യം അതൊന്നുമല്ല. സ്വന്തം ഇഷ്ടം പോലെ ജീവിതം നയിക്കാന്‍ അവനു കഴിയുന്നു എന്നുള്ളതാണ്‌. ആന്‍ഡലു സിയയില്‍ യാത്ര ചെയ്തു മടുത്താല്‍ ആടുകളെയൊക്കെ വിറ്റ്‌ കടല്‍ കടക്കാം. അതും മടുക്കുമ്പോഴേക്കും കാണാനുള്ളതൊക്കെ താന്‍ കണ്ടു കഴിഞ്ഞിട്ടുണ്ടാകും. ഗ്രാമങ്ങളും നഗരങ്ങളും കൊട്ടാരങ്ങളും സ്ര്രീകളും."
"en_XX: Whenever he could, he sought out a new road to travel. He had never been to that ruined church before, in spite of having traveled through those parts many times. The world was huge and inexhaustible; he had only to allow his sheep to set the route for a while, and he would discover other interesting things. The problem is that they don’t even realize that they’re walking a new road every day. They don’t see that the fields are new and the seasons change.",ml_IN: പല തവണ ഈ വഴി കടന്നുപോയിട്ടുണ്ട്‌. എങ്കിലും എന്തുകൊണ്ടോ ആ പഴയ പള്ളി കാണാനിടവന്നിട്ടില്ല. എന്നും പുതിയ പുതിയ വഴികളില്‍ ക്കൂടി യാത്ര ചെയ്യാനായിരുന്നു അവനു താത്പര്യം. അറ്റമില്ലാതെ നീണ്ടു നിവര്‍ന്നു കിടക്കുന്ന വഴികള്‍. ആടുകളെ ഒന്നു തിരിച്ചുവിടുകയേ വേണ്ടൂ.
"en_XX: THE OLD WOMAN LED THE BOY TO A ROOM AT THE BACK of her house; it was separated from her living room by a curtain of colored beads. The room’s furnishings consisted of a table, an image of the Sacred Heart of Jesus, and two chairs.",ml_IN: വൃദ്ധ അവനെ തന്റെ വീടിന്റെ പുറകുവശത്തുള്ള ഒരു മുറിയി ആ ലേക്കു കൂട്ടിക്കൊണ്ടുപോയി. പല തരത്തിലുള്ള മുത്തുകള്‍ കോര്‍ത്തുണ്ടാക്കിയ ഒരു മറ പുറംതളത്തില്‍നിന്ന്‌ ആ മുറിയെ വേര്‍തിരി ച്ചിരുന്നു. കര്‍ത്താവിന്റെ തിരുഹൃദയത്തിന്റെ ഒരു പ്രതിരൂപം. ഒരു മേശയും രണ്ടു കസേരകളും. അകത്തളത്തില്‍ അത്രമാത്രമേ ഉണ്ടായിരുന്നുള്ളു.
"en_XX: The woman sat down, and told him to be seated as well. Then she took both of his hands in hers, and began quietly to pray.",ml_IN: ആ സ്ത്രീ നിലത്തു കുത്തിയിരുന്നു. അവനോടും അതുപോലെ ഇരി ക്കാന്‍ പറഞ്ഞു. അവന്റെ കൈപ്പടങ്ങള്‍ രണ്ടും സ്വന്തം കൈയില്‍ ചേര്‍ത്തു പിടിച്ചുകൊണ്ട്‌ അവര്‍ പ്രാര്‍ത്ഥിച്ചു തുടങ്ങി.
"en_XX: It sounded like a Gypsy prayer. The boy had already had experience on the road with Gypsies; they also traveled, but they had no flocks of sheep. People said that Gypsies spent their lives tricking others. It was also said that they had a pact with the devil, and that they kidnapped children and, taking them away to their mysterious camps, made them their slaves. As a child, the boy had always been frightened to death that he would be captured by Gypsies, and this childhood fear returned when the old woman took his hands in hers.",ml_IN: ചതിയന്മാര്‍. കുട്ടികളെ തട്ടിക്കൊണ്ടുപോകാനും മടിക്കില്ല. അകലെയെങ്ങോ ഉള്ള താവളങ്ങളിലേക്ക്‌ കുട്ടികളെ കൊണ്ടുപോയി പാര്‍പ്പിക്കും. പിന്നെ അടിമകളാക്കി വിലക്കും. അവര്‍ക്കു പിശാചുമായി ഒരു ഉടമ്പടി ഉണ്ടായി രുന്നു എന്നും കേള്‍വിപ്പെട്ടിരുന്നു. കുട്ടിക്കാലത്ത്‌ ജിപ്സികളെന്നു കേട്ടാല്‍ അവന്‍ പേടിച്ചൊളിക്കുമായിരുന്നു. അവരെങ്ങാനും തന്നെ തട്ടിക്കൊണ്ടു പോയാലോ എന്ന ഭയം! അന്നത്തെ ആ ബാലിശമായ ഭയം ഇപ്പോളിതാ വീണ്ടും; ഈ വൃദ്ധയുടെ കൈയില്‍ കൈയും ചേര്‍ത്തിരിക്കേ.
"en_XX: But she has the Sacred Heart of Jesus there, he thought, trying to reassure himself. He didn’t want his hand to begin trembling, showing the old woman that he was fearful. He recited an Our Father silently.","ml_IN: “പക്ഷേ, അവര്‍ക്കരികില്‍ യേശുവിന്റെ തിരുഹൃദയമുണ്ടല്ലൊ.” തന്ന ത്താന്‍ ഉറപ്പിക്കാന്‍വേണ്ടി അവന്‍ ചിന്തിച്ചു. തന്റെ കൈ വിറയ്ക്കുന്നത്‌ ആ വൃദ്ധയുടെ ശ്രദ്ധയില്‍ പെടുത്തുവാന്‍ അവനാഗ്രഹിച്ചില്ല. അവന്‍ നിശ്ശു ബ്ദമായി പ്രാര്‍ത്ഥിച്ചു: “സ്വര്‍ഗ്ഗസ്ഥനായ പിതാവേ!”"
"en_XX: The boy was becoming nervous. His hands began to tremble, and the woman sensed it. He quickly pulled his hands away.",ml_IN: 36 ആല്‍കെമിസ്റ്റ്‌ ആ ബാലന്‍ അസ്വസ്ഥനാവുകയായിരുന്നു. അവന്റെ കൈകള്‍ വിറ യ്ക്കാന്‍ തുടങ്ങി. ആ സ്ര്രീയ്ക്ക്‌ അതേറെക്കുറെ മനസ്സിലായെന്നു തോന്നി യപ്പോള്‍ അവന്‍ പെട്ടെന്ന്‌ കൈകള്‍ എടുത്തു മാറ്റി.
"en_XX: “I didn’t come here to have you read my palm,” he said, already regretting having come. He thought for a moment that it would be better to pay her fee and leave without learning a thing, that he was giving too much importance to his recurrent dream.",ml_IN: “എന്റെ കൈ നോക്കി ഫലം പറഞ്ഞു കേള്‍ക്കാനല്ല ഞാനിവിടെ വന്നത്‌.” അവന്റെ സ്വരത്തില്‍ പ്രകടമായ നീരസം. തള്ളയ്ക്ക്‌ വല്ല കാശും കൊടുത്ത്‌ അവിടെനിന്ന്‌ എഴുന്നേറ്റു പോകുകയാണ്‌ നല്ലതെന്ന്‌ അവനു തോന്നി. ഒന്നും അറിയേണ്ട. ഒരേ സ്വപ്നം രണ്ടു തവണ കണ്ടെന്നു വെച്ച്‌ അതിത്ര കാര്യമായി എടുക്കേണ്ടതുണ്ടോ? ഇവരാണെങ്കില്‍ അതിവെപ്പറ്റി ഒരക്ഷരം മിണ്ടുന്നുമില്ല.
"en_XX: “You came so that you could learn about your dreams,” said the old woman. “And dreams are the language of God. When he speaks in our language, I can interpret what he has said. But if he speaks in the language of the soul, it is only you who can understand. But, whichever it is, I’m going to charge you for the consultation.”","ml_IN: “ഓ! നീ കണ്ട സ്വപ്നത്തിന്റെ പൊരുളറിയണം, അല്ലേ.” വൃദ്ധ പെട്ടെന്നു സംസാരിക്കാന്‍ തുടങ്ങി. “നിനക്കറിയുമോ? ദൈവത്തിന്റെ അരുളപ്പാടുക ളാണ്‌ സ്വപ്നങ്ങള്‍. അവിടന്ന്‌ നമ്മുടെ ഭാഷയിലാണ്‌ സംസാരിക്കുന്നതെ ങ്കില്‍ അതിന്റെ അര്‍ത്ഥവും ഉദ്ദേശ്യവും ഞാന്‍ നിനക്കു പറഞ്ഞുതരുമായി രുന്നു. പക്ഷേ, ആത്മാവിന്റെ ഭാഷയിലാണ്‌ അദ്ദേഹം സംസാരിക്കുന്നതെ ങ്കില്‍ അതു മനസ്സിലാക്കാന്‍ അന്യനൊരാള്‍ക്കാവില്ല. അവനവനു മാത്രമേ കഴിയു. എന്തായാലും, നിന്റെ കൈയില്‍നിന്ന്‌ ഞാനിതിന്‌ കൂലി വാങ്ങും..."
en_XX: The woman was silent for some time. Then she again took his hands and studied them carefully.,ml_IN: മറുപടിയൊന്നും പറയാതെ ആ സ്ത്രീ ഏതാനും നിമിഷം എന്തോ ആലോചിച്ചിരുന്നു. വീണ്ടും അവന്റെ ഉള്ളംകൈയെടുത്ത്‌ ശ്രദ്ധയോടെ നോക്കാന്‍ തുടങ്ങി.
"en_XX: “I’m not going to charge you anything now,” she said. “But I want one-tenth of the treasure, if you find it.”","ml_IN: “എനിക്കിപ്പോള്‍ നീ പ്രതിഫലമൊന്നും തരേണ്ട.” തികഞ്ഞ ഗൌരവ ത്തോടെയാണവര്‍ അതു പറഞ്ഞത്‌: “പക്ഷേ, എന്നെങ്കിലും ആ നിധി നീ കൈക്കലാക്കിയാല്‍ അതിന്റെ പത്തിലൊന്ന്‌ എനിക്കു തരണം.”"
"en_XX: “First, swear to me. Swear that you will give me one-tenth of your treasure in exchange for what I am going to tell you.”",ml_IN: “പറയാം. അതിനു മുമ്പ്‌ നീ എനിക്കു വാക്കു തരണം. ഞാന്‍ പറയാന്‍ പോകുന്നതിന്‌ പ്രതിഫലമായി നിനക്കു കിട്ടാന്‍ പോകുന്ന നിധിയുടെ പത്തിലൊന്ന്‌ എനിക്കു തരാമെന്ന്‌.” അവര്‍ വീണ്ടും അതുതന്നെ പറഞ്ഞു.
"en_XX: “I didn’t need to waste my time just for this,” he said.",ml_IN: 38 ആല്‍കെമിസ്റ്റ്‌ “ഇതിനു മാത്രമായി എന്റെ സമയം പാഴാക്കേണ്ടിയിരുന്നില്ല.” അവന്‍ പറഞ്ഞു.
"en_XX: “I told you that your dream was a difficult one. It’s the simple things in life that are the most extraordinary; only wise men are able to understand them. And since I am not wise, I have had to learn other arts, such as the reading of palms.”","ml_IN: “ഞാന്‍ പറഞ്ഞില്ലേ, നിന്റെ സ്വപ്നം സങ്കീര്‍ണ്ണമായ ഒന്നായിരുന്നു എന്ന്‌. ജീവിതത്തിലെ ലളിതമായ കാര്യങ്ങളായിരിക്കും പലപ്പോഴും ഏറ്റവും അസാധാരണമായിത്തീരുക. ബുദ്ധിയുള്ളവര്‍ക്കേ അതു മനസ്സിലാക്കാന്‍ കഴിയു. എനിക്കതില്ല... അതുകൊണ്ട്‌ എനിക്കു മറ്റുവഴികള്‍ നോക്കേണ്ട തുണ്ട്‌ കൈരേഖ വായിക്കലും മറ്റും...”"
"en_XX: “Well, how am I going to get to Egypt?”",ml_IN: “ശരി. ഞാന്‍ എങ്ങനെയാണ്‌ ഈജിപ്റ്റില്‍ ചെന്നെത്തുക?”
en_XX: “I only interpret dreams. I don’t know how to turn them into reality. That’s why I have to live off what my daughters provide me with.”,ml_IN: “സ്വപ്നങ്ങളെ വ്യാഖ്യാനിക്കാനേ എനിക്കാകൂ. അവയെ യാഥാര്‍ത്ഥ്യ മാക്കിത്തീര്‍ക്കാന്‍ എനിക്ക്‌ അറിഞ്ഞുകൂടാ. അതുകൊണ്ടല്ലേ എനിക്ക്‌ എന്റെ പെണ്‍മക്കള്‍ തരുന്നതും കഴിച്ച്‌ ഇവിടെ കഴിഞ്ഞുകൂടേണ്ട ഗതികേടു വന്നത്‌.”
en_XX: “And what if I never get to Egypt?”,"ml_IN: “പക്ഷേ, എനിക്ക്‌ ഈജിപ്റ്റ്വരെ ചെന്നെത്താന്‍ പറ്റിയില്ലെങ്കിലോ?”"
