English Text (en_xx),Malayalam Text (ml_xx)
"en_xx: His father said no more. The next day, he gave his son a pouch that held three ancient Spanish gold coins.",ml_xx: അവന്റെ പിതാവ്‌ പിന്നെയൊന്നും പറഞ്ഞില്ല. പിറ്റേന്നു നേരം പുലര്‍ ന്നതും ഒരു മടിശ്ലീലയെടുത്ത്‌ അവന്റെ കൈയില്‍ കൊടുത്തു. മുന്നു പുരാ തന സ്പാനിഷ്‌ സ്വര്‍ണ്ണനാണ്യങ്ങളായിരുന്നു അതിനുള്ളില്‍.
"en_xx: “I found these one day in the fields. I wanted them to be a part of your inheritance. But use them to buy your flock. Take to the fields, and someday you’ll learn that our countryside is the best, and our women are the most beautiful.”",ml_xx: നിന്റെ പിതൃസ്വത്തിന്റെ ഒരു ഭാഗമായിരിക്കട്ടെ അത്‌. നിന്റെ ആട്ടിന്‍പറ്റത്തെ വാങ്ങാനായി അത്‌ ഉപയോഗപ്പെടുത്തുക. ഇനി നീ പുറപ്പെട്ടോളു. എന്നെ ങ്കിലുമൊരുനാള്‍ നിനക്കു മനസ്സിലാകും നമ്മുടെ നാടാണ്‌ ഏറ്റവും നല്ല തെന്ന്‌. നമ്മുടെ നാട്ടിലെ പെണ്‍കിടാങ്ങളാണ്‌ ഏറ്റവും സുന്ദരികളായിട്ടുള്ള തെന്നും നീ ഒരുനാള്‍ അറിയാനിടയാകും.”
"en_xx: THE OLD WOMAN LED THE BOY TO A ROOM AT THE BACK of her house; it was separated from her living room by a curtain of colored beads. The room’s furnishings consisted of a table, an image of the Sacred Heart of Jesus, and two chairs.",ml_xx: വൃദ്ധ അവനെ തന്റെ വീടിന്റെ പുറകുവശത്തുള്ള ഒരു മുറിയി ആ ലേക്കു കൂട്ടിക്കൊണ്ടുപോയി. പല തരത്തിലുള്ള മുത്തുകള്‍ കോര്‍ത്തുണ്ടാക്കിയ ഒരു മറ പുറംതളത്തില്‍നിന്ന്‌ ആ മുറിയെ വേര്‍തിരി ച്ചിരുന്നു. കര്‍ത്താവിന്റെ തിരുഹൃദയത്തിന്റെ ഒരു പ്രതിരൂപം. ഒരു മേശയും രണ്ടു കസേരകളും. അകത്തളത്തില്‍ അത്രമാത്രമേ ഉണ്ടായിരുന്നുള്ളു.
"en_xx: The woman sat down, and told him to be seated as well. Then she took both of his hands in hers, and began quietly to pray.",ml_xx: ആ സ്ത്രീ നിലത്തു കുത്തിയിരുന്നു. അവനോടും അതുപോലെ ഇരി ക്കാന്‍ പറഞ്ഞു. അവന്റെ കൈപ്പടങ്ങള്‍ രണ്ടും സ്വന്തം കൈയില്‍ ചേര്‍ത്തു പിടിച്ചുകൊണ്ട്‌ അവര്‍ പ്രാര്‍ത്ഥിച്ചു തുടങ്ങി.
"en_xx: But she has the Sacred Heart of Jesus there, he thought, trying to reassure himself. He didn’t want his hand to begin trembling, showing the old woman that he was fearful. He recited an Our Father silently.","ml_xx: “പക്ഷേ, അവര്‍ക്കരികില്‍ യേശുവിന്റെ തിരുഹൃദയമുണ്ടല്ലൊ.” തന്ന ത്താന്‍ ഉറപ്പിക്കാന്‍വേണ്ടി അവന്‍ ചിന്തിച്ചു. തന്റെ കൈ വിറയ്ക്കുന്നത്‌ ആ വൃദ്ധയുടെ ശ്രദ്ധയില്‍ പെടുത്തുവാന്‍ അവനാഗ്രഹിച്ചില്ല. അവന്‍ നിശ്ശു ബ്ദമായി പ്രാര്‍ത്ഥിച്ചു: “സ്വര്‍ഗ്ഗസ്ഥനായ പിതാവേ!”"
"en_xx: The boy was becoming nervous. His hands began to tremble, and the woman sensed it. He quickly pulled his hands away.",ml_xx: 36 ആല്‍കെമിസ്റ്റ്‌ ആ ബാലന്‍ അസ്വസ്ഥനാവുകയായിരുന്നു. അവന്റെ കൈകള്‍ വിറ യ്ക്കാന്‍ തുടങ്ങി. ആ സ്ര്രീയ്ക്ക്‌ അതേറെക്കുറെ മനസ്സിലായെന്നു തോന്നി യപ്പോള്‍ അവന്‍ പെട്ടെന്ന്‌ കൈകള്‍ എടുത്തു മാറ്റി.
"en_xx: “I’m not going to charge you anything now,” she said. “But I want one-tenth of the treasure, if you find it.”","ml_xx: “എനിക്കിപ്പോള്‍ നീ പ്രതിഫലമൊന്നും തരേണ്ട.” തികഞ്ഞ ഗൌരവ ത്തോടെയാണവര്‍ അതു പറഞ്ഞത്‌: “പക്ഷേ, എന്നെങ്കിലും ആ നിധി നീ കൈക്കലാക്കിയാല്‍ അതിന്റെ പത്തിലൊന്ന്‌ എനിക്കു തരണം.”"
"en_xx: “First, swear to me. Swear that you will give me one-tenth of your treasure in exchange for what I am going to tell you.”",ml_xx: “പറയാം. അതിനു മുമ്പ്‌ നീ എനിക്കു വാക്കു തരണം. ഞാന്‍ പറയാന്‍ പോകുന്നതിന്‌ പ്രതിഫലമായി നിനക്കു കിട്ടാന്‍ പോകുന്ന നിധിയുടെ പത്തിലൊന്ന്‌ എനിക്കു തരാമെന്ന്‌.” അവര്‍ വീണ്ടും അതുതന്നെ പറഞ്ഞു.
"en_xx: “I didn’t need to waste my time just for this,” he said.",ml_xx: 38 ആല്‍കെമിസ്റ്റ്‌ “ഇതിനു മാത്രമായി എന്റെ സമയം പാഴാക്കേണ്ടിയിരുന്നില്ല.” അവന്‍ പറഞ്ഞു.
"en_xx: “I told you that your dream was a difficult one. It’s the simple things in life that are the most extraordinary; only wise men are able to understand them. And since I am not wise, I have had to learn other arts, such as the reading of palms.”","ml_xx: “ഞാന്‍ പറഞ്ഞില്ലേ, നിന്റെ സ്വപ്നം സങ്കീര്‍ണ്ണമായ ഒന്നായിരുന്നു എന്ന്‌. ജീവിതത്തിലെ ലളിതമായ കാര്യങ്ങളായിരിക്കും പലപ്പോഴും ഏറ്റവും അസാധാരണമായിത്തീരുക. ബുദ്ധിയുള്ളവര്‍ക്കേ അതു മനസ്സിലാക്കാന്‍ കഴിയു. എനിക്കതില്ല... അതുകൊണ്ട്‌ എനിക്കു മറ്റുവഴികള്‍ നോക്കേണ്ട തുണ്ട്‌ കൈരേഖ വായിക്കലും മറ്റും...”"
"en_xx: “Well, how am I going to get to Egypt?”",ml_xx: “ശരി. ഞാന്‍ എങ്ങനെയാണ്‌ ഈജിപ്റ്റില്‍ ചെന്നെത്തുക?”
en_xx: “I only interpret dreams. I don’t know how to turn them into reality. That’s why I have to live off what my daughters provide me with.”,ml_xx: “സ്വപ്നങ്ങളെ വ്യാഖ്യാനിക്കാനേ എനിക്കാകൂ. അവയെ യാഥാര്‍ത്ഥ്യ മാക്കിത്തീര്‍ക്കാന്‍ എനിക്ക്‌ അറിഞ്ഞുകൂടാ. അതുകൊണ്ടല്ലേ എനിക്ക്‌ എന്റെ പെണ്‍മക്കള്‍ തരുന്നതും കഴിച്ച്‌ ഇവിടെ കഴിഞ്ഞുകൂടേണ്ട ഗതികേടു വന്നത്‌.”
en_xx: “And what if I never get to Egypt?”,"ml_xx: “പക്ഷേ, എനിക്ക്‌ ഈജിപ്റ്റ്വരെ ചെന്നെത്താന്‍ പറ്റിയില്ലെങ്കിലോ?”"
"en_xx: He started to read the book he had bought. On the very first page it described a burial ceremony. And the names of the people involved were very difficult to pronounce. If he ever wrote a book, he thought, he would present one person at a time, so that the reader wouldn’t have to worry about memorizing a lot of names.",ml_xx: ഒരു ശവമടക്കലിന്റെ വിവരണമാണ്‌ ആദ്യത്തെ പേജില്‍തന്നെ. ഒരു പാടു കഥാപാഠ്രതങ്ങള്‍... ഉച്ചരിക്കാന്‍ പ്രയാസമുള്ള പേരുകള്‍. “ഞാനാണെങ്കില്‍ ഇങ്ങനെയല്ല പുസ്തകമെഴുതുക.” അവന്‍ വെറുതെ വിചാരിച്ചു. “കഥാ പാര്രങ്ങളെ ഒരുമിച്ചല്ല. ഓരോരുത്തരെ ആയേ അവതരിപ്പിക്കൂ ... ഒരുപാടു പേരുകള്‍ ഒരേ സമയം ഓര്‍മ്മിച്ചുവയ്ക്കേണ്ടതിന്റെ ക്ളേശം വായനക്കാരനു നല്‍കുകയില്ല.”
"en_xx: When he was finally able to concentrate on what he was reading, he liked the book better; the burial was on a snowy day, and he welcomed the feeling of being cold. As he read on, an old man sat down at his side and tried to strike up a conversation.",ml_xx: ക്രമേണ അവന്‍ വായനയില്‍ രസം പിടിച്ചു വന്നു. മഞ്ഞുകാലത്തെ നല്ല തണുപ്പുള്ള ഒരുച്ചനേരത്താണ്‌ ശവമടക്കല്‍ നടക്കുന്നത്‌. തണുപ്പിനെ പറ്റി വായിക്കുമ്പോള്‍തന്നെ ഒരു കുളിര്‍മ്മ..... അത്രയ്ക്കും ചൂടാണിപ്പോള്‍ വെയി ലിന്‌. അവനങ്ങനെ വായനയില്‍ ലയിച്ചിരിക്കുമ്പോള്‍ ഒരു വൃദ്ധന്‍ അവന്റെ അരുകില്‍ വന്ന്‌ ഇരുപ്പു പിടിച്ചു. ഒരു വര്‍ത്തമാനത്തിനുള്ള തരവും പാത്താണ്‌ അയാളുടെ ഇരിപ്പ്‌.
"en_xx: “What are they doing?” the old man asked, pointing at the people in the plaza.",ml_xx: “അവരെന്താണവിടെ ചെയ്യുന്നത്‌?” പ്ലാസയിലെ ആളുകളുടെ നേര്‍ക്കു വിരല്‍ചുണ്ടിക്കൊണ്ട്‌ ആ വൃദ്ധന്‍ ചോദിച്ചു.
"en_xx: Actually, he was thinking about shearing his sheep in front of the merchant’s daughter, so that she could see that he was someone who was capable of doing difficult things. He had already imagined the scene many times; every time, the girl became fascinated when he explained that the sheep had to be sheared from back to front. He also tried to remember some good stories to relate as he sheared the sheep. Most of them he had read in books, but he would tell them as if they were from his personal experience. She would never know the difference, because she didn’t know how to read.","ml_xx: അവന്‍ പല തവണ മനക്കണ്ണില്‍ കണ്ടതാണ്‌ ആ രംഗം. ഓരോ തവണയും ആടിന്റെ രോമം മുറിക്കുന്നത്‌ പിന്നില്‍നിന്നു മുമ്പിലേക്കാണെന്ന്‌ അവന്‍ പറഞ്ഞപ്പോള്‍ അവള്‍ അത്ഭുതപരത്ര്രയാവുന്നതു കാണാന്‍ രസമായി രുന്നു! പണിക്കിടയില്‍ അരികില്‍ നില്‍ക്കുന്ന അവള്‍ക്കു പറഞ്ഞു കൊടു ക്കാന്‍വേണ്ടി രസമുള്ള ചില കഥകളും അവന്‍ ഓര്‍ത്തുവെച്ചു. ഒക്കെ പുസ്തകങ്ങളില്‍നിന്ന്‌ വായിച്ചു മനസ്സിലാക്കിയ കഥകളാണ്‌. എന്നാലും സ്വന്തം അനുഭവമാണെന്ന മട്ടില്‍ തന്മയത്വത്തോടുകൂടി പറയണം. വൃത്യാ സമൊന്നും അവള്‍ക്കു പിടികിട്ടുകയില്ല., അവള്‍ക്കു വായിക്കാനറിയില്ലല്ലൊ!"
"en_xx: “What’s the world’s greatest lie?” the boy asked, completely surprised.","ml_xx: “പ്രപഞ്ചത്തിലെ ഏറ്റവും വലിയ മിഥ്യ ഏതാണ്‌?"" ആശ്ചര്യഭരിത നായി അവന്‍ ചോദിച്ചു."
"en_xx: “That’s never happened to me,” the boy said. “They wanted me to be a priest, but I decided to become a shepherd.”","ml_xx: “അങ്ങനെയൊന്ന്‌ എനിക്ക്‌ ഒരിക്കലും സംഭവിച്ചിട്ടില്ല. എന്നെ ഒരു പാതിരിയാക്കാനാണ്‌ എന്റെ മാതാപിതാക്കള്‍ ആശിച്ചത്‌. പക്ഷേ, ഒരു ആഅട്ടിട യനാവാന്‍ ഞാന്‍ തീരുമാനിച്ചു.”"
en_xx: “Where are you from?” the boy asked.,ml_xx: “നിങ്ങള്‍ എവിടെനിന്നാണ്‌?” അവന്‍ അന്വേഷിച്ചു.
en_xx: “From many places.”,ml_xx: “പലയിടത്തുനിന്നും എന്നു പറയാം.” വൃദ്ധന്റെ മറുപടി.
"en_xx: “No one can be from many places,” the boy said. “I’m a shepherd, and I have been to many places, but I come from only one place— from a city near an ancient castle. That’s where I was born.”",ml_xx: “പലയിടത്തുനിന്നുമായി ഒരാള്‍ക്കു വരാനൊക്കുകയില്ലല്ലെ.” ബാലന്‍ പറഞ്ഞു: “ഞാന്‍ ഒരു ആട്ടിടയനാണ്‌. പലയിടത്തും ഞാന്‍ പോയിട്ടുമുണ്ട്‌.
"en_xx: “Well then, we could say that I was born in Salem.”","ml_xx: ""ഓ... അങ്ങനെയാണെങ്കില്‍ പറയാം ഞാന്‍ ജനിച്ചത്‌ സലേമിലാണ്‌.”"
"en_xx: “What do I do in Salem?” The old man laughed. “Well, I’m the king of Salem!”","ml_xx: “ഞാനോ, സലേമില്‍ എന്തെടുക്കുന്നുവെന്നോ? നല്ല കഥ... ഞാന്‍ അവി ടത്തെ രാജാവാണ്‌.”"
"en_xx: “My name is Melchizedek,” said the old man. “How many sheep do you have?”","ml_xx: “എന്റെ പേര്‌ മെല്‍ഷിഡഷേക്ക്‌ എന്നാണ്‌. ആട്ടെ, നിനക്കു സ്വന്തമായി മൊത്തം എത്ര ആടുകളുണ്ട്‌?""”"
"en_xx: “Well, then, we’ve got a problem. I can’t help you if you feel you’ve got enough sheep.”","ml_xx: ""ഓ ...അങ്ങനെയാണോ? നിനക്ക്‌ ആവശ്യത്തിനുള്ള ആടുകളുണ്ടെന്നു തോന്നിയാല്‍ പിന്നെ നിന്നെ സഹായിക്കുവാന്‍ എന്നെക്കൊണ്ടാവില്ല.”"
"en_xx: There, in the sand of the plaza of that small city, the boy read the names of his father and his mother and the name of the seminary he had attended. He read the name of the merchant’s daughter, which he hadn’t even known, and he read things he had never told anyone.","ml_xx: ഇവിടെ, അപരിചിതമായ ഈ ചെറിയ പട്ടണത്തിലെ ചന്തത്തെരുവി ലുള്ള മണലില്‍ അയാള്‍ എഴുതിയിട്ടിരിക്കുന്നു അവന്റെ അച്ഛന്റെയും അമ്മയുടെയും പേരുകള്‍... അവന്‍ പഠിച്ചിരുന്ന സെമിനാരിയുടെ പേര."
en_xx: “For several reasons. But let’s say that the most important is that you have succeeded in discovering your Personal Legend.”,"ml_xx: “അതിന്‌ കാരണം പലതുണ്ട്‌. ഏറ്റവും (പ്രധാനമായത്‌ നീ സ്വന്തം ജീവി തത്തിന്റെ ലക്ഷ്യം തിരിച്ചറിഞ്ഞിരിക്കുന്നു എന്നതുതന്നെ."""
"en_xx: “And, when you want something, all the universe conspires in helping you to achieve it.”",ml_xx: “എന്തെങ്കിലും നേടിയെടുക്കണമെന്ന്‌ ഒരാള്‍ പൂര്‍ണ്ണമനസ്സോടെ ആഗ്ര ഹിച്ചാല്‍ ആ ആഗ്രഹം സഫലമാക്കാനായി ലോകം മുഴുവന്‍ അവന്റെ സഹായത്തിനെത്തും.” ആല്‍കെമിസ്റ്റ്‌ പറഞ്ഞു. അവനതിശയം തോന്നി.
"en_xx: “Not always in this way, but I always appear in one form or another. Sometimes I appear in the form of a solution, or a good idea. At other times, at a crucial moment, I make it easier for things to happen. There are other things I do, too, but most of the time people don’t realize I’ve done them.”","ml_xx: “എപ്പോഴും ഇങ്ങനെ ആയിക്കൊള്ളണമെന്നില്ല... മറ്റു ചിലപ്പോള്‍ മറ്റേ തെങ്കിലും വിധത്തില്‍ ആയെന്നും വരാം. ചിലപ്പോള്‍ ഏതെങ്കിലും പ്രശ്ന ത്തിന്‌ പരിഹാരമായിട്ടാകാം. അല്ലെങ്കില്‍ പ്രയോജനകരമായ ഒരു യുക്തി യുടെ രൂപത്തിലാകാം. ഇടയ്ക്ക്‌ വഴിയിലെ തടസ്സങ്ങള്‍ നീക്കിക്കൊടുത്തു കൊണ്ടാകാം. ഏതായാലും നിര്‍ണ്ണായകമായ ഘട്ടങ്ങളില്‍, പലവിധത്തില്‍, പല രൂപത്തില്‍. പക്ഷേ, അതൊന്നും മനസ്സിലാക്കാനുള്ള സാവകാശം മനു ഷ്യര്‍ക്കില്ലല്ലോ.”"
en_xx: “What about one-tenth of my treasure?”,ml_xx: “അപ്പോള്‍ എനിക്കു കിട്ടാന്‍ പോകുന്ന നിധിയുടെ പത്തിലൊരു ഭാഗം?”
en_xx: The boy told him that he had already promised to give one-tenth of his treasure to the Gypsy.,ml_xx: തനിക്ക്‌ കിട്ടാന്‍ പോകുന്ന നിധിയുടെ പത്തിലൊരംശം ഒരു ജിപ്സിത്ത ള്ളയ്ക്ക്‌ കൊടുത്തേക്കാമെന്ന്‌ താന്‍ വാക്കുകൊടുത്തു കഴിഞ്ഞിരിക്കു ന്നുവെന്ന്‌ അവന്‍ അയാളോടു പറഞ്ഞു.
"en_xx: “Maybe tomorrow,” said the boy, moving away. If he sold just one of his sheep, he’d have enough to get to the other shore of the strait. The idea frightened him.","ml_xx: സും വേണ്ട. ഒരുപക്ഷേ, നാളെ.” അതും കി നു ടെനിന്നു മാറി. തന്റെ ആടുകളില്‍ ഒന്നേ ഒന്നിനെ വിറ്റാല്‍ മതി. ി ി അക്കരെയെത്താനുള്ള വകയാകും. എന്തോ, ആ ചിന്ത അവനിലുള ്‌ യൊരു ഭയമായിരുന്നു."
en_xx: “Why is that?”,ml_xx: “അതെന്താണങ്ങനെ?”
"en_xx: “It’s in Egypt, near the Pyramids.”",ml_xx: “ഈജിപ്റ്റില്‍ പിരമിഡുകളുടെ അടുത്ത്‌.”
en_xx: “‘But where are the drops of oil I entrusted to you?’ asked the wise man.,"ml_xx: പക്ഷേ, ഞാന്‍ നിന്റെ കൈയിലേല്‍പിച്ച ആ രണ്ടുതുള്ളി എണ്ണയെ വിടെ?” ജ്ഞാനിയുടെ ചോദ്യം."
"en_xx: Melchizedek watched a small ship that was plowing its way out of the port. He would never again see the boy, just as he had never seen Abraham again after having charged him his one-tenth fee.",ml_xx: അകലെ തുറമുഖത്തുനിന്ന്‌ ഒരു കപ്പല്‍ പുറംകടലിലേക്കു നീങ്ങുന്നത്‌ മെല്‍ഷിയേക്ക്‌ ശ്രദ്ധിച്ചു. ഇനിയൊരിക്കലും താന്‍ ആ ചെറുപ്പക്കാരനെ കാണുകയുണ്ടാവില്ല. അതാണല്ലോ തന്റെ ജോലിയുടെ രീതി. ഇതുപോലെ തന്നെയായിരുന്നു ആ അബ്രഹാമും. തന്റെ പത്തിലൊന്നു ഫീസ്‌ തന്നിട്ടു പോയതാണ്‌. പിന്നീടൊരിക്കലും അയാളെ കാണാന്‍ കഴിഞ്ഞിട്ടില്ല.
en_xx: The boy trusted his new friend. He had helped him out in a dangerous situation. He took out his money and counted it.,ml_xx: അവന്‌ തന്റെ പുതിയ പരിചയക്കാരന്റെ പേരിലുള്ള വിശ്വാസം വര്‍ദ്ധിച്ചു. വലിയൊരു കെണിയില്‍നിന്ന്‌ അയാള്‍ തന്നെ രക്ഷിച്ചല്ലോ. പിന്നെ അവന്‍ സംശയിച്ചില്ല. മടിശ്ശീല തുറന്ന്‌ പണമെണ്ണി കൂട്ടുകാരനെ ഏല്‍പിച്ചു അവനതു വാങ്ങി എണ്ണി നോക്കി.
en_xx: “Am I going to find my treasure?” he asked.,ml_xx: “ഞാന്‍ തേടുന്ന നിധി എനിക്കു കണ്ടെത്താനാകുമോ?
"en_xx: “All things are one,” the old man had said.",ml_xx: “ശരിയാണ്‌ എല്ലാം ഒന്നുതന്നെ.” അവന്‍ തന്നത്താന്‍ പറഞ്ഞു. “എല്ലാം പരസ്പരം ബന്ധിക്കപ്പെട്ടിട്ടുള്ളതാണ്‌.”
"en_xx: But, as time passed, Tangier had changed. The nearby city of Ceuta had grown faster than Tangier, and business had fallen off.",ml_xx: അതൊക്കെ അന്നായിരുന്നു. ഇപ്പോള്‍ ടാന്‍ജീര്‍ പാടെ മാറി. അയല്‍ വക്കത്തെ സിയൂട്ടാ എന്ന കൊച്ചു പട്ടണം പെട്ടെന്നങ്ങു വളര്‍ന്നു. വലിയൊരു നഗരമായി. അതോടെ ടാന്‍ജീറിന്റെ (്രാധാന്യം നഷ്ടപ്പെട്ടു. വ്യാപാരം മോശമായി.
"en_xx: Neighbors moved away, and there remained only a few small shops on the hill. And no one was going to climb the hill just to browse through a few small shops.",ml_xx: ഈ പ്രദേശത്തെ കച്ചവടക്കാര്‍ കുറെ ആ ഭാഗത്തേക്കു മാറി പ്പോയി. ഇനി ബാക്കിയുള്ളത്‌ ഏതാനും ചെറിയ കടകള്‍ മാത്രം. ഈ കയറ്റം കയറി ഇവിടെ വന്ന്‌ തന്റെ സ്ഫടികപ്പാത്രങ്ങളുടെ ഭംഗി കാണാന്‍ ആരെ ങ്കിലും മിനക്കെടുമോ? എന്നു വെച്ച്‌ മറ്റെന്തിലേക്കെങ്കിലും ശ്രദ്ധതിരിക്കാ മെന്നു വെച്ചാല്‍. അതിനുള്ള കഴിവൊട്ടില്ലതാനും. കൊല്ലം മുപ്പതു കഴിഞ്ഞു.
